cast_label,start_time_utc,latitude,longitude,max_depth_reached_m,data_points,profile_hypoxia_detected,profile_hypoxia_min_depth_m,profile_hypoxia_max_depth_m,profile_hypoxia_thickness_m,bottom_hypoxia_detected,bottom_hypoxia_min_depth_m,bottom_hypoxia_max_depth_m,bottom_hypoxia_thickness_m,do_at_max_depth_mgl,salinity_at_max_depth_psu,do_at_max_depth_umolL
SN-10 Cast ka82zm,2024-07-21T02:08:05.000Z,29.009192966666667,-89.7500711,39.15661,1611,NO,,,,NO,,,,3.08,,96.25
SN-10 Cast 6h9rx,2024-07-21T05:13:00.000Z,29.01215592,-89.75313462166666,38.44471,1291,NO,,,,NO,,,,3.05,,95.3125
SN-10 Cast 1iujww,2024-07-21T07:10:05.000Z,29.009684829333334,-89.74899939333334,40.15175,1374,NO,,,,NO,,,,2.52,,78.75
SN-10 Cast 2zib84,2024-07-21T09:03:30.000Z,29.01024178666667,-89.74807889666667,40.15197,1368,NO,,,,NO,,,,2.94,,91.875
SN-10 Cast bddybg,2024-07-21T11:05:05.000Z,29.008371479999997,-89.74951312,40.51136,1277,NO,,,,NO,,,,2.86,,89.375
SN-13 Cast ol3xum,2024-07-21T15:12:10.000Z,29.133265183333332,-89.47508085,8.17219,270,YES,6.9304,8.17219,1.2417900000000008,YES,6.9304,8.17219,1.2417900000000008,0.04,,1.25
SN-13 Cast 4um0c,2024-07-21T20:33:28.000Z,29.13319046666667,-89.47483340000001,7.65273,243,YES,6.52925,7.65273,1.1234799999999998,YES,6.52925,7.65273,1.1234799999999998,0.04,,1.25
SN-13 Cast rqlx5p,2024-07-21T22:08:43.000Z,29.091790316666668,-89.499756475,10.84878,352,YES,7.7608,10.84878,3.08798,YES,8.65069,10.84878,2.1980899999999988,0.03,,0.9375
SN-13 Cast roe8cn,2024-07-22T01:32:31.000Z,29.033045333333334,-89.53275265416667,8.09552,208,YES,7.29174,8.09552,0.8037800000000006,YES,7.29174,8.09552,0.8037800000000006,0.81,,25.3125
SN-13 Cast 5mussd,2024-07-22T01:45:10.000Z,29.031780333333334,-89.53182604166666,12.71672,435,YES,7.38501,9.87758,2.4925699999999997,NO,,,,2.75,,85.9375
SN-13 Cast a75jal,2024-07-22T04:01:23.000Z,28.983403173333333,-89.56627887166667,33.45324,1079,NO,,,,NO,,,,2.97,,92.8125
SN-10 Cast 3ehm9z,2024-07-22T04:30:34.000Z,29.00826856666667,-89.74988397,39.8816,1273,NO,,,,NO,,,,2.78,,86.875
SN-13 Cast u6empr,2024-07-22T05:06:01.000Z,28.95125265442404,-89.57455139899832,51.42199,1633,NO,,,,NO,,,,3,,93.75
SN-10 Cast 458jus,2024-07-22T05:31:13.000Z,29.008268201666667,-89.749889525,40.00468,1263,NO,,,,NO,,,,2.8,,87.5
SN-10 Cast sjma6q,2024-07-22T07:06:58.000Z,29.069300233333333,-89.75003889,30.29491,954,NO,,,,NO,,,,2.67,,83.4375
SN-13 Cast m8zusx,2024-07-22T07:16:16.000Z,28.98203075,-89.56687687499999,33.57622,1081,NO,,,,NO,,,,3,,93.75
SN-10 Cast 3jwwgf,2024-07-22T07:40:36.000Z,29.092990699999998,-89.7468004,26.75134,833,YES,20.31369,21.20334,0.8896499999999996,NO,,,,2.13,,66.5625
SN-13 Cast hncj9j,2024-07-22T08:34:34.000Z,28.98302287,-89.565757115,33.44704,1080,NO,,,,NO,,,,3.21,,100.3125
SN-10 Cast bc3rny,2024-07-22T08:35:54.000Z,29.13084160521932,-89.74963972126596,20.89433,643,YES,9.45179,20.89433,11.44254,YES,18.75191,20.89433,2.1424200000000013,1.22,,38.125
SN-10 Cast xjkri4,2024-07-22T09:41:03.000Z,29.173879438095238,-89.74995406666666,16.00914,499,YES,9.18021,16.00914,6.828929999999998,YES,13.8349,16.00914,2.1742399999999993,0.68,,21.25
SN-10 Cast dkfc4j,2024-07-22T11:02:24.000Z,29.2359176575,-89.75015927694444,11.14931,343,YES,7.82128,11.14931,3.32803,YES,8.95212,11.14931,2.197189999999999,0.01,,0.3125
SN-13 Cast wwjrt1,2024-07-22T11:04:35.000Z,29.048900806666666,-89.60971965,20.85293,701,YES,11.89169,13.37843,1.4867399999999993,NO,,,,2.95,,92.1875
SN-10 Cast x91h4y,2024-07-22T12:27:51.000Z,29.29099091666667,-89.751771075,6.84933,279,YES,5.53992,6.84933,1.3094099999999997,YES,5.53992,6.84933,1.3094099999999997,0.05,,1.5625
SN-10 Cast nu3bvb,2024-07-22T13:15:23.000Z,29.294424568666667,-89.76408146666667,4.48348,126,YES,3.79531,4.48348,0.68817,YES,3.79531,4.48348,0.68817,1.13,,35.3125
SN-10 Cast 40e8lq,2024-07-22T13:23:13.000Z,29.295344672,-89.7664628,3.75649,103,NO,,,,NO,,,,3.59,,112.1875
SN-13 Cast nntm4h,2024-07-22T17:25:29.000Z,29.055433426666667,-89.89422996,26.197,1290,YES,18.73148,26.197,7.465519999999998,YES,24.07508,26.197,2.1219199999999994,0.02,,0.625
SN-13 Cast obv0jv,2024-07-22T21:00:39.000Z,28.99358847333333,-90.07661580666668,21.92916,1075,NO,,,,NO,,,,2.51,,78.4375
SN-13 Cast cl8sfz,2024-07-22T22:09:56.000Z,29.020934925000002,-90.10567966666666,17.9367,875,YES,14.68633,17.9367,3.2503699999999984,YES,15.768,17.9367,2.1686999999999976,0.83,,25.9375
SN-13 Cast dez71r,2024-07-22T23:10:50.000Z,29.027344855000003,-90.12256560499999,17.03131,818,YES,12.31271,17.03131,4.718600000000002,YES,14.84953,17.03131,2.1817800000000016,0.71,,22.1875
SN-13 Cast yfty2e,2024-07-23T01:07:38.000Z,29.006959165,-90.1877394375,16.13104,546,YES,7.62851,16.13104,8.502529999999998,YES,13.9352,16.13104,2.1958399999999987,0.19,,5.9375
SN-13 Cast 9ge1hk,2024-07-23T02:24:29.000Z,29.05260166,-90.19966149999999,11.64814,407,YES,5.4413,11.64814,6.20684,YES,9.46305,11.64814,2.185089999999999,0.02,,0.625
SN-13 Cast buuu43,2024-07-23T03:02:14.000Z,29.075471766666666,-90.20752859,8.53113,316,YES,5.71883,8.53113,2.8122999999999996,YES,6.38268,8.53113,2.1484499999999995,0.02,,0.625
SN-10 Cast b4m20o,2024-07-23T03:35:09.000Z,28.82108801,-90.00064829499999,36.93885,1118,YES,36.00677,36.93885,0.9320799999999991,YES,36.00677,36.93885,0.9320799999999991,1.76,,55
SN-10 Cast dbemkr,2024-07-23T07:14:28.000Z,28.742164066666664,-90.19955799333334,30.85852,953,NO,,,,NO,,,,2.28,,71.25
SN-10 Cast sdnsnn,2024-07-23T07:25:01.000Z,28.743251045,-90.20101745333334,32.11097,1048,NO,,,,NO,,,,2.18,,68.125
SN-10 Cast uqt6e4,2024-07-23T08:09:41.000Z,28.758284330000002,-90.23315902499999,29.29144,963,YES,26.03684,29.29144,3.2546,YES,27.11804,29.29144,2.173400000000001,1.94,,60.625
SN-10 Cast rznlvt,2024-07-23T09:02:56.000Z,28.785731997333333,-90.27127732266666,23.80344,802,NO,,,,NO,,,,2.14,,66.875
SN-10 Cast 1zlv68,2024-07-23T11:00:59.000Z,28.832367635,-90.39241594833334,21.06898,707,NO,,,,NO,,,,2,,62.5
SN-10 Cast qughix,2024-07-23T14:01:06.000Z,28.77562392,-90.52836523,18.88946,905,NO,,,,NO,,,,3.22,,100.625
SN-13 Cast n35i1c,2024-07-23T15:52:42.000Z,29.04972,-90.3737083,6.3801,222,YES,5.389,6.3801,0.9910999999999994,YES,5.389,6.3801,0.9910999999999994,1.47,,45.9375
SN-10 Cast 49990s,2024-07-23T17:52:55.000Z,28.6425544825,-90.53441302124999,20.38428,948,NO,,,,NO,,,,2.05,,64.0625
SN-10 Cast ctipp8,2024-07-23T19:51:23.000Z,28.568996016666667,-90.54607101,27.5465,1576,YES,25.23352,27.5465,2.312980000000003,YES,25.37395,27.5465,2.172550000000001,1.24,,38.75
SN-13 Cast 42dszb,2024-07-23T20:04:00.000Z,29.0550176,-90.53138000000001,5.74875,211,NO,,,,NO,,,,5.12,,160
SN-10 Cast hfrz4y,2024-07-23T21:16:37.000Z,28.56851142,-90.54559206,31.1661,1554,YES,23.94995,27.26661,3.316659999999999,NO,,,,3.25,,101.5625
SN-13 Cast qtte1u,2024-07-23T21:41:54.000Z,28.99064269,-90.52075202,11.68238,511,YES,9.08587,11.68238,2.5965100000000003,YES,9.49012,11.68238,2.192260000000001,0.02,,0.625
SN-10 Cast 8kaxd3,2024-07-23T22:13:24.000Z,28.52984839333333,-90.54143101833334,35.07394,1690,NO,,,,NO,,,,4.63,,144.6875
SN-13 Cast ubxzyl,2024-07-23T22:48:27.000Z,28.950217885,-90.52409435999999,13.85735,646,YES,9.20414,13.85735,4.65321,YES,11.72872,13.85735,2.128630000000001,0.04,,1.25
SN-13 Cast 95mund,2024-07-23T23:46:07.000Z,28.91461380166667,-90.48933533166667,16.92911,798,YES,10.81481,16.92911,6.114300000000002,YES,14.75543,16.92911,2.173680000000001,0.29,,9.0625
SN-13 Cast rh8875,2024-07-24T00:48:51.000Z,28.869314525,-90.49008828000001,19.53552,921,YES,18.04206,19.53552,1.4934600000000025,YES,18.04206,19.53552,1.4934600000000025,1.44,,45
SN-10 Cast woh4ts,2024-07-24T05:59:20.000Z,28.49987145652174,-90.83241034782608,33.07293,984,NO,,,,NO,,,,3.64,,113.75
SN-13 Cast t4mesb,2024-07-24T10:36:18.000Z,28.60886346,-90.83217444333333,17.13392,520,YES,12.53599,15.00605,2.47006,YES,14.95967,15.00605,0.046380000000000976,2.22,,69.375
SN-13 Cast tykxdo,2024-07-24T10:47:28.000Z,28.60849048,-90.832788265,19.23035,646,YES,12.39235,19.23035,6.838000000000001,YES,17.57588,19.23035,1.6544699999999999,1.08,,33.75
SN-13 Cast julvnq,2024-07-24T13:28:23.000Z,28.715714353333333,-90.83234963333334,18.1317,872,YES,11.96622,18.1317,6.165479999999999,YES,15.93608,18.1317,2.195619999999998,0.41,,12.8125
SN-13 Cast r0arr0,2024-07-24T16:40:38.000Z,28.84172614166667,-90.82843675666668,30.177,525,NO,,,,NO,,,,,,
SN-13 Cast ynum1w,2024-07-24T19:20:06.000Z,28.941935541666666,-90.83304178333334,10.69361,364,YES,7.28913,10.69361,3.4044799999999995,YES,8.50937,10.69361,2.184239999999999,0.1,,3.125
SN-13 Cast qo97yu,2024-07-24T20:29:10.000Z,28.983863325,-90.83360081999999,8.58858,301,YES,6.63648,8.58858,1.9521000000000006,YES,6.63648,8.58858,1.9521000000000006,0.06,,1.875
SN-13 Cast f2stuf,2024-07-24T21:19:04.000Z,29.013824290000002,-90.832932005,5.19098,180,NO,,,,NO,,,,2.48,,77.5
SN-10 Cast uegat5,2024-07-24T23:51:47.000Z,28.547190877777776,-91.23550735111111,32.25672,1229,NO,,,,NO,,,,4.11,,128.4375
SN-10 Cast szsihg,2024-07-25T05:02:46.000Z,28.639312575,-91.239975,24.08045,800,YES,20.41954,24.08045,3.6609099999999977,YES,21.89611,24.08045,2.184339999999999,0.78,,24.375
SN-10 Cast 3d63yp,2024-07-25T07:56:42.000Z,28.741494201111113,-91.24735932666667,15.42255,424,YES,11.67111,15.42255,3.7514399999999988,YES,13.30273,15.42255,2.119819999999999,0.26,,8.125
SN-10 Cast 25ign6,2024-07-25T10:33:41.000Z,28.85479445,-91.25034095000001,8.94797,246,YES,5.93922,8.94797,3.00875,YES,6.77132,8.94797,2.1766499999999995,0.97,,30.3125
SN-10 Cast phnptu,2024-07-25T12:53:41.000Z,28.966525233333336,-91.25073433333333,5.53295,129,YES,4.79434,5.53295,0.7386099999999995,YES,4.79434,5.53295,0.7386099999999995,0.6,,18.75
SN-13 Cast spibrf,2024-07-25T19:12:56.000Z,29.257568786666667,-91.99981832000002,8.42327,291,YES,6.78522,8.42327,1.6380500000000007,YES,6.78522,8.42327,1.6380500000000007,0.11,,3.4375
SN-10 Cast jye272,2024-07-25T22:39:20.000Z,29.262265583333335,-91.61312794999999,4.16085,90,NO,,,,NO,,,,3.09,,96.5625
SN-10 Cast fl8j10,2024-07-26T00:24:32.000Z,29.18426984,-91.61673201333333,7.44428,207,YES,5.05504,7.44428,2.38924,YES,5.29611,7.44428,2.1481700000000004,0.02,,0.625
SN-13 Cast yxiqa4,2024-07-26T01:41:35.000Z,28.982053733333334,-92.00062108333333,15.43405,471,NO,,,,NO,,,,4.67,,145.9375
SN-10 Cast yxpqsq,2024-07-26T02:47:17.000Z,29.050426168333335,-91.61712744500001,7.76735,202,NO,,,,NO,,,,2.29,,71.5625
SN-10 Cast qqb9fd,2024-07-26T05:25:13.000Z,28.949836639999997,-91.58035556166666,15.69129,506,YES,9.89812,15.69129,5.79317,YES,13.51815,15.69129,2.17314,0.03,,0.9375
SN-13 Cast vwihyt,2024-07-26T07:04:10.000Z,28.74069383333333,-92.00018908333334,33.45292,1343,NO,,,,NO,,,,4.48,,140
SN-10 Cast 8w858a,2024-07-26T07:31:59.000Z,28.88486717,-91.61579499666668,19.86705,667,NO,,,,NO,,,,2.81,,87.8125
SN-13 Cast huy56l,2024-07-26T09:13:58.000Z,28.675536543333333,-92.0006625,35.70004,1408,NO,,,,NO,,,,4.65,,145.3125
SN-10 Cast 5czfc4,2024-07-26T12:45:16.000Z,28.784325125,-91.6169637,24.69506,804,NO,,,,NO,,,,2.15,,67.1875
SN-13 Cast 8n0sun,2024-07-26T20:08:48.000Z,28.691427915,-91.61696494833333,14.92989,428,NO,,,,NO,,,,3.48,,108.75
SN-13 Cast wjmrn5,2024-07-26T23:43:07.000Z,28.583876450000005,-91.61669932999999,40.14706,1188,NO,,,,NO,,,,4.39,,137.1875
